id,name,produzent,nation,lokal1,lokal2,lokal3,lokal4,sorten1,sorten2,sorten3,sorten4,sorten5,sorten6,sorten7,sorten8,sorten9,sorten10,sorten11,sorten12,typ,verwendung,alc,temperatur,suesse,saeurengehalt ,koerper,gerbstoff,preis,jahr,ml
150154,"Cheval Noir, Bordeaux Rouge",Cheval Noir,France,Bordeaux,,,,Merlot,,,,,,,,,,,,Red,Table,13,17,1,3,3,3,29.34121634,2016,750
150155,"Cheval Noir, Bordeaux Blanc",Cheval Noir,France,Bordeaux,,,,Sauvignon blanc,Semillon,,,,,,,,,,,White,"Appetizer, Table",12,11,1,3,2,1,24.94003389,2019,750
150156,Bouchard Aine & Fils Nuits Saint Georges,Bouchard Aine  Fils,France,Bourgogne,Cote de Nuits,,,Pinot Noir,,,,,,,,,,,,Red,Table,13,16,1,5,4,2,124.7001694,2008,750
150157,"Bouchard Aine & Fils, Macon Villages",Bouchard Aine  Fils,France,Bourgogne,Maconnais,,,Chardonnay,,,,,,,,,,,,White,Table,12.5,11,1,5,3,1,36.67652043,2010,750
150158,"Bouchard Aine & Fils, Meursault",Bouchard Aine  Fils,France,Bourgogne,Cote de Beaune,,,Chardonnay,,,,,,,,,,,,White,Table,13,11,1,4,4,1,121.0325174,2008,750
150160,"Bouchard Aine & Fils, Chablis Premier Cru Vaillons",Bouchard Aine  Fils,France,Bourgogne,Chablis,,,Chardonnay,,,,,,,,,,,,White,Table,12.5,11,1,4,4,1,73.35304085,2009,750
150161,"Bouchard Aine & Fils, Chambolle Musigny",Bouchard Aine  Fils,France,Bourgogne,Cote de Nuits,Chambolle Musigny,,Pinot Noir,,,,,,,,,,,,Red,Table,13,16,1,4,3,2,146.7060817,2008,750
150162,"Bouchard Aine & Fils, Gevrey Chambertin",Bouchard Aine  Fils,France,Bourgogne,Cote de Beaune,,,Pinot Noir,,,,,,,,,,,,Red,Table,13,16,1,4,3,2,110.0295613,2008,750
150174,L'Oracle Moelleux Vin de Pays des Cotes du Tarn,Vignobles Arbeau,France,,,,,Mauzac,Muscadet,Len de L'el,Sauvignon blanc,,,,,,,,,White,"Appetizer, Dessert",12,11,5,3,3,1,14.67060817,2008,750
150181,"Casas Patronales, Chardonnay",Casas Patronales,Chile,Maule Valley,,,,Chardonnay,,,,,,,,,,,,White,Table,13.5,11,1,3,2,1,19.07179062,2010,750
150182,"Casas Patronales, Cabernet Sauvignon ",Casas Patronales,Chile,Maule Valley,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13.5,17,1,4,2,3,19.07179062,2010,750
150185,Finest Chateau Fonguillon Montagne Saint Emilion,Tesco Finest,France,Bordeaux,SaintEmilion,,,Merlot,Cabernet Franc,Cabernet Sauvignon,,,,,,,,,,Red,Table,13,17,1,3,3,3,31.54180757,2009,750
150186,Finest Crozes Hermitage,Tesco Finest,France,Rhone,CrozesHermitage,,,Syrah & Shiraz,,,,,,,,,,,,Red,Table,12.5,16,1,3,4,3,24.94003389,2010,750
150188,Finest Hermitage,Tesco Finest,France,Rhone,Hermitage,,,Syrah & Shiraz,,,,,,,,,,,,Red,Table,13,17,1,4,3,3,65.28420636,2007,750
150189,"Finest, Chateauneuf du Pape",Tesco Finest,France,Rhone,ChateauneufduPape,,,Grenache,Syrah & Shiraz,mourvedre,Cinsault,,,,,,,,,Red,Table,14,16,1,3,4,4,35.94299002,2011,750
150190,Finest Gigondas,Tesco Finest,France,Rhone,Gigondas,,,Grenache,Syrah & Shiraz,mourvedre,,,,,,,,,,Red,Table,14.5,16,1,3,4,3,33.00886838,2011,750
